date,olive_oil_cost,eggs_cost,garlic_cost,energy_cost,index
2025-06-08 10:00:00,443.80633708571867,233.1178766480447,247.26531697597065,55.29586407149506,4093.2034745452224
2025-06-08 11:00:00,443.80633708571867,233.1178766480447,247.26531697597065,46.06952945592688,4083.977139929654
2025-06-08 12:00:00,443.80633708571867,233.1178766480447,247.26531697597065,43.806877370575826,4081.714487844303
2025-06-08 13:00:00,443.80633708571867,233.1178766480447,247.26531697597065,57.55048195221675,4095.458092425944
2025-06-08 14:00:00,443.80633708571867,233.1178766480447,247.26531697597065,86.16129100852824,4124.068901482256
2025-06-08 15:00:00,443.80633708571867,233.1178766480447,247.26531697597065,112.88401770648706,4150.7916281802145
2025-06-08 16:00:00,443.80633708571867,233.1178766480447,247.26531697597065,144.8156111409739,4182.723221614701
2025-06-08 17:00:00,443.80633708571867,233.1178766480447,247.26531697597065,161.95137164367247,4199.8589821174
2025-06-08 18:00:00,443.80633708571867,233.1178766480447,247.26531697597065,151.6320417446064,4189.539652218334
2025-06-08 19:00:00,443.80633708571867,233.1178766480447,247.26531697597065,131.02615418423608,4168.933764657963
2025-06-08 20:00:00,443.80633708571867,233.1178766480447,247.26531697597065,115.21434264617673,4153.121953119904
2025-06-08 21:00:00,443.80633708571867,233.1178766480447,247.26531697597065,111.95385101724534,4149.861461490973
2025-06-08 22:00:00,443.80633708571867,233.1178766480447,247.26531697597065,103.54567125310147,4141.453281726829
2025-06-08 23:00:00,443.80633708571867,233.1178766480447,247.26531697597065,99.34725486368052,4137.254865337408
2025-06-09 00:00:00,443.80633708571867,233.1178766480447,247.26531697597065,94.50238081754945,4132.409991291277
2025-06-09 01:00:00,443.80633708571867,233.1178766480447,247.26531697597065,92.28466995827897,4130.192280432007
2025-06-09 02:00:00,443.80633708571867,233.1178766480447,247.26531697597065,90.48683345492607,4128.394443928653
2025-06-09 03:00:00,443.80633708571867,233.1178766480447,247.26531697597065,92.95497030431699,4130.8625807780445
2025-06-09 04:00:00,443.80633708571867,233.1178766480447,247.26531697597065,98.47138929793348,4136.378999771661
2025-06-09 05:00:00,443.80633708571867,233.1178766480447,247.26531697597065,119.84080346889712,4157.748413942624
2025-06-09 06:00:00,443.80633708571867,233.1178766480447,247.26531697597065,141.09753124025264,4179.00514171398
2025-06-09 07:00:00,443.80633708571867,233.1178766480447,247.26531697597065,127.99943830404997,4165.907048777777
2025-06-09 08:00:00,443.80633708571867,233.1178766480447,247.26531697597065,103.03304977995873,4140.9406602536865
2025-06-09 09:00:00,443.80633708571867,233.1178766480447,247.26531697597065,78.39580345052808,4116.303413924255
2025-06-09 10:00:00,443.80633708571867,233.1178766480447,247.26531697597065,55.29586407149506,4093.2034745452224
2025-06-09 11:00:00,443.80633708571867,233.1178766480447,247.26531697597065,46.06952945592688,4083.977139929654
2025-06-09 12:00:00,443.80633708571867,233.1178766480447,247.26531697597065,43.806877370575826,4081.714487844303
2025-06-09 13:00:00,443.80633708571867,233.1178766480447,247.26531697597065,57.55048195221675,4095.458092425944
2025-06-09 14:00:00,443.80633708571867,233.1178766480447,247.26531697597065,86.16129100852824,4124.068901482256
2025-06-09 15:00:00,443.80633708571867,233.1178766480447,247.26531697597065,112.88401770648706,4150.7916281802145
2025-06-09 16:00:00,443.80633708571867,233.1178766480447,247.26531697597065,144.8156111409739,4182.723221614701
2025-06-09 17:00:00,443.80633708571867,233.1178766480447,247.26531697597065,161.95137164367247,4199.8589821174
2025-06-09 18:00:00,443.80633708571867,233.1178766480447,247.26531697597065,151.6320417446064,4189.539652218334
2025-06-09 19:00:00,443.80633708571867,233.1178766480447,247.26531697597065,131.02615418423608,4168.933764657963
2025-06-09 20:00:00,443.80633708571867,233.1178766480447,247.26531697597065,115.21434264617673,4153.121953119904
2025-06-09 21:00:00,443.80633708571867,233.1178766480447,247.26531697597065,111.95385101724534,4149.861461490973
2025-06-09 22:00:00,443.80633708571867,233.1178766480447,247.26531697597065,103.54567125310147,4141.453281726829
2025-06-09 23:00:00,443.80633708571867,233.1178766480447,247.26531697597065,99.34725486368052,4137.254865337408
2025-06-10 00:00:00,443.80633708571867,233.1178766480447,247.26531697597065,94.50238081754945,4132.409991291277
2025-06-10 01:00:00,443.80633708571867,233.1178766480447,247.26531697597065,92.28466995827897,4130.192280432007
2025-06-10 02:00:00,443.80633708571867,233.1178766480447,247.26531697597065,90.48683345492607,4128.394443928653
2025-06-10 03:00:00,443.80633708571867,233.1178766480447,247.26531697597065,92.95497030431699,4130.8625807780445
2025-06-10 04:00:00,443.80633708571867,233.1178766480447,247.26531697597065,98.47138929793348,4136.378999771661
2025-06-10 05:00:00,443.80633708571867,233.1178766480447,247.26531697597065,119.84080346889712,4157.748413942624
2025-06-10 06:00:00,443.80633708571867,233.1178766480447,247.26531697597065,141.09753124025264,4179.00514171398
2025-06-10 07:00:00,443.80633708571867,233.1178766480447,247.26531697597065,127.99943830404997,4165.907048777777
2025-06-10 08:00:00,443.80633708571867,233.1178766480447,247.26531697597065,103.03304977995873,4140.9406602536865
2025-06-10 09:00:00,443.80633708571867,233.1178766480447,247.26531697597065,78.39580345052808,4116.303413924255
2025-06-10 10:00:00,443.80633708571867,233.1178766480447,247.26531697597065,55.29586407149506,4093.2034745452224
2025-06-10 11:00:00,443.80633708571867,233.1178766480447,247.26531697597065,46.06952945592688,4083.977139929654
2025-06-10 12:00:00,443.80633708571867,233.1178766480447,247.26531697597065,43.806877370575826,4081.714487844303
2025-06-10 13:00:00,443.80633708571867,233.1178766480447,247.26531697597065,57.55048195221675,4095.458092425944
2025-06-10 14:00:00,443.80633708571867,233.1178766480447,247.26531697597065,86.16129100852824,4124.068901482256
2025-06-10 15:00:00,443.80633708571867,233.1178766480447,247.26531697597065,112.88401770648706,4150.7916281802145
2025-06-10 16:00:00,443.80633708571867,233.1178766480447,247.26531697597065,144.8156111409739,4182.723221614701
2025-06-10 17:00:00,443.80633708571867,233.1178766480447,247.26531697597065,161.95137164367247,4199.8589821174
2025-06-10 18:00:00,443.80633708571867,233.1178766480447,247.26531697597065,151.6320417446064,4189.539652218334
2025-06-10 19:00:00,443.80633708571867,233.1178766480447,247.26531697597065,131.02615418423608,4168.933764657963
2025-06-10 20:00:00,443.80633708571867,233.1178766480447,247.26531697597065,115.21434264617673,4153.121953119904
2025-06-10 21:00:00,443.80633708571867,233.1178766480447,247.26531697597065,111.95385101724534,4149.861461490973
2025-06-10 22:00:00,443.80633708571867,233.1178766480447,247.26531697597065,103.54567125310147,4141.453281726829
2025-06-10 23:00:00,443.80633708571867,233.1178766480447,247.26531697597065,99.34725486368052,4137.254865337408
2025-06-11 00:00:00,443.80633708571867,233.1178766480447,247.26531697597065,94.50238081754945,4132.409991291277
2025-06-11 01:00:00,443.80633708571867,233.1178766480447,247.26531697597065,92.28466995827897,4130.192280432007
2025-06-11 02:00:00,443.80633708571867,233.1178766480447,247.26531697597065,90.48683345492607,4128.394443928653
2025-06-11 03:00:00,443.80633708571867,233.1178766480447,247.26531697597065,92.95497030431699,4130.8625807780445
2025-06-11 04:00:00,443.80633708571867,233.1178766480447,247.26531697597065,98.47138929793348,4136.378999771661
2025-06-11 05:00:00,443.80633708571867,233.1178766480447,247.26531697597065,119.84080346889712,4157.748413942624
2025-06-11 06:00:00,443.80633708571867,233.1178766480447,247.26531697597065,141.09753124025264,4179.00514171398
2025-06-11 07:00:00,443.80633708571867,233.1178766480447,247.26531697597065,127.99943830404997,4165.907048777777
2025-06-11 08:00:00,443.80633708571867,233.1178766480447,247.26531697597065,103.03304977995873,4140.9406602536865
